scorer,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img2039.png,497.98131269927694,281.90703009565283,260.84001088731634,444.09693599813363,225.20738004510463,430.5811105062602,571.7039972004046,263.47635897037094,505.3535811493897,206.95563418617303,345.6210980636131,205.72692277782096,241.1806283536822,297.88027840423047,209.23413173652693,382.6613655805273,415.65764833968444,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img2136.png,480.7793529823472,264.70507037872306,292.7865075044716,345.80002332996344,239.95191694533014,339.6564662882028,582.7623998755738,284.3644529123571,520.0981180496152,216.7853254529901,384.93986313088124,186.06754024418694,260.84001088731634,238.90213080332836,201.86186328641418,311.39610389610385,414.42893693133226,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img2440.png,434.0883194649663,313.85352671280816,305.0736215879929,317.53966093786454,294.0152189128237,300.3377012209347,568.0178629753482,369.14554008865383,484.4654872074035,288.05058713741346,398.45568862275456,194.66852010265177,294.0152189128237,177.466560385722,,,413.2002255229801,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img2634.png,338.24882961350033,316.3109495295124,275.58454778754185,396.17719107240066,255.92516525390772,377.74651994711877,520.0981180496152,326.1406407963294,399.68440003110675,243.81697643673687,285.41423905435886,194.66852010265177,225.20738004510463,238.90213080332836,,,418.1150711563887,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img2946.png,365.2804805972471,312.624815304456,266.9835679290769,462.5276071234155,226.4360914534567,439.1820903647251,521.3268294579674,301.56641262928684,403.37053425616307,245.045687845089,282.9568162376546,225.38630531145498,219.06382300334394,292.96543277082196,,,413.2002255229801,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img3465.png,490.6090442491642,269.61991601213157,367.73790341395136,302.79512403763897,321.04686989657057,324.9119293879773,582.7623998755738,229.07243953651135,543.4436348083057,206.95563418617303,405.8279570728673,189.75367446924326,290.32908468776736,243.81697643673687,235.03707131192164,334.7416206547943,415.65764833968444,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img3601.png,448.8328563651918,262.2476475620188,294.0152189128237,344.5713119216113,251.01031962049922,369.14554008865383,574.1614200171089,270.8486274204837,521.3268294579674,225.38630531145498,386.1685745392333,192.21109728594752,275.58454778754185,247.50311066179324,215.3776887782875,351.94358037172407,414.42893693133226,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img3709.png,268.2122793374291,361.7732716385411,354.22207792207803,522.7344661326697,323.5042927132748,520.2770433159656,416.8863597480365,243.81697643673687,275.58454778754185,278.22089587059645,204.31928610311843,376.51780853876664,242.4093397620344,466.2137413484719,,,413.2002255229801,415.8365736060347
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img3878.png,313.6746014464578,498.1602379656272,,,,,274.35583637918967,345.80002332996344,219.06382300334394,440.41080177307725,263.2974337040206,520.2770433159656,341.93496383855677,571.8829224667548,,,415.65764833968444,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img3901.png,,,,,,,268.2122793374291,367.9168286803017,241.1806283536822,468.67116416517615,290.32908468776736,552.2235399331208,,,,,415.65764833968444,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img4199.png,,,,,,,,,,,,,,,,,411.971514114628,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img4616.png,,,,,,,,,,,,,,,,,413.2002255229801,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img4707.png,,,,,,,,,,,,,,,,,413.2002255229801,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_aRAMP_R\img4794.png,,,,,,,,,,,,,,,,,414.42893693133226,415.8365736060347
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img030.png,533.6139435414887,273.30605023718795,490.6090442491642,280.6783186873007,439.0031650983748,270.8486274204837,682.2880239520961,263.47635897037094,599.9643595925036,221.7001710863986,493.06646706586844,175.00913756901775,389.85470876428974,192.21109728594752,311.21717862975356,236.4447079866241,447.6041449568397,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img048.png,539.7575005832493,276.9921844622443,490.6090442491642,285.5931643207092,427.9447624232057,265.9337817870752,663.8573528268142,249.9605334784975,580.3049770588696,206.95563418617303,470.94966171553017,166.40815771055293,378.79630608912055,203.2694999611167,316.13202426316207,240.1308422116805,450.06156777354397,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img090.png,534.8426549498408,274.5347616455401,493.06646706586844,283.13574150400495,440.23187650672696,278.22089587059645,628.2247219846025,216.7853254529901,568.0178629753482,186.06754024418694,458.6625476320089,163.95073489384868,364.05176918889504,211.8704798195816,311.21717862975356,253.64666770355393,450.06156777354397,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img133.png,538.5287891748972,276.9921844622443,483.23677579905143,285.5931643207092,440.23187650672696,274.5347616455401,644.1979702931801,227.84372812815923,577.8475542421653,192.21109728594752,480.7793529823472,155.34975503538374,387.3972859475855,183.6101174274827,319.8181584882184,232.75857376156773,447.6041449568397,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img164.png,538.5287891748972,274.5347616455401,489.380332840812,283.13574150400495,431.630896648262,273.30605023718795,613.480185084377,218.01403686134222,560.6455945252354,175.00913756901775,454.9764134069525,147.97748658527098,380.02501749747273,215.55661404463797,328.4191383466833,267.1624931954273,446.37543354848754,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img188.png,532.3852321331365,248.73182207014537,489.380332840812,280.6783186873007,427.9447624232057,267.1624931954273,615.9376079010813,227.84372812815923,554.5020374834749,176.23784897736994,451.29027918189604,139.37650672680604,387.3972859475855,198.3546543277082,355.4507893304301,279.4496072789486,448.8328563651918,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img202.png,,,475.8645073489387,280.6783186873007,421.801205381445,265.9337817870752,633.139567618011,279.4496072789486,583.9911112839259,200.81207714441246,470.94966171553017,145.52006376856673,382.482440314177,188.5249630608912,329.6478497550354,262.2476475620188,448.8328563651918,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img222.png,,,424.25862819814927,276.9921844622443,372.65274904735986,279.4496072789486,590.1346683256866,262.2476475620188,521.3268294579674,182.3814060191305,409.51409129792376,151.6636208103273,327.19042693833114,230.30115094486348,291.55779609611943,289.2792985457656,447.6041449568397,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img249.png,550.8159032584184,272.0773388288358,355.4507893304301,307.7099696710475,311.21717862975356,307.7099696710475,603.6504938175599,269.61991601213157,547.1297690333621,192.21109728594752,413.2002255229801,173.78042616066568,305.0736215879929,229.07243953651135,247.3241853954429,294.1941441791741,446.37543354848754,424.43755346449956
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img263.png,507.81100396609395,251.18924488684968,335.7914067967961,324.9119293879773,281.7281048293024,329.8267750213858,580.3049770588696,252.4179562952018,507.81100396609395,173.78042616066568,384.93986313088124,182.3814060191305,287.8716618710631,249.9605334784975,227.66480286180888,318.76837234621667,450.06156777354397,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img290.png,441.46058791507903,231.5298623532156,425.48733960650145,246.27439925344112,373.88146045571204,258.56151333696243,581.5336884672216,278.22089587059645,517.640695232911,202.04078855276452,392.312131580994,163.95073489384868,298.9300645462323,225.38630531145498,244.86676257873864,294.1941441791741,448.8328563651918,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img341.png,414.42893693133226,242.58826502838474,333.33398398009183,294.1941441791741,301.38748736293655,317.53966093786454,534.8426549498408,256.1040905202582,451.29027918189604,190.98238587759545,324.7330041216269,184.83882883583476,274.35583637918967,261.0189361536667,241.1806283536822,327.36935220468155,448.8328563651918,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img402.png,,,305.0736215879929,414.60786219768255,298.9300645462323,439.1820903647251,480.7793529823472,246.27439925344112,387.3972859475855,209.41305700287728,292.7865075044716,236.4447079866241,276.8132591958939,328.5980636130337,,,451.29027918189604,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img424.png,,,,,,,431.630896648262,230.30115094486348,317.36073567151413,236.4447079866241,270.66970215413335,327.36935220468155,296.47264172952794,417.0652850143868,,,448.8328563651918,426.8949762812038
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img477.png,309.9884672214014,343.3426005132592,,,,,,,339.4775410218525,276.9921844622443,294.0152189128237,370.37425149700596,324.7330041216269,479.7295668403453,,,451.29027918189604,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img504.png,,,,,,,,,,,,,,,,,451.29027918189604,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img681.png,,,,,,,,,,,,,,,,,450.06156777354397,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img692.png,,,,,,,,,,,,,,,,,445.14672214013547,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img779.png,,,,,,,,,,,,,,,,,446.37543354848754,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_bRAMP_L\img864.png,,,,,,,,,,,,,,,,,445.14672214013547,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0054.png,436.5457422816705,295.4228555875262,368.96661482230354,291.73672136246984,352.99336651372585,262.2476475620188,665.0860642351663,294.1941441791741,579.0762656505174,267.1624931954273,474.6357959405865,203.2694999611167,366.5091920055993,175.00913756901775,292.7865075044716,202.04078855276452,416.8863597480366,424.43755346449956
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0221.png,441.46058791507903,299.1089898125826,370.1953262306556,294.1941441791741,352.99336651372585,272.0773388288358,665.0860642351663,295.4228555875262,560.6455945252354,264.70507037872306,439.0031650983748,190.98238587759545,352.99336651372585,168.86558052725718,290.32908468776736,204.49821136946878,413.2002255229801,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0225.png,437.7744536900227,301.56641262928684,372.65274904735986,292.96543277082196,356.6795007387823,268.39120460377944,655.2563729683493,286.82187572906133,525.0129636830237,247.50311066179324,416.8863597480365,173.78042616066568,346.8498094719653,181.15269461077844,290.32908468776736,213.09919122793372,415.65764833968444,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0281.png,439.0031650983748,299.1089898125826,368.96661482230354,294.1941441791741,354.22207792207803,281.90703009565283,624.5385877595461,286.82187572906133,528.6990979080801,245.045687845089,414.42893693133226,172.5517147523135,328.4191383466833,189.75367446924326,302.6161987712886,254.87537911190606,416.8863597480365,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0319.png,415.65764833968444,294.1941441791741,354.22207792207803,299.1089898125826,332.10527257173965,285.5931643207092,575.390131425461,273.30605023718795,536.0713663581929,230.30115094486348,420.57249397309295,163.95073489384868,335.7914067967961,199.58336573606027,275.58454778754185,246.27439925344112,415.65764833968444,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0356.png,357.90821214713435,302.79512403763897,305.0736215879929,331.0554864297379,285.41423905435886,317.53966093786454,577.8475542421653,306.48125826269535,518.8694066412631,267.1624931954273,404.59924566451525,199.58336573606027,300.15877595458437,218.01403686134222,242.4093397620344,286.82187572906133,413.2002255229801,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0416.png,429.17347383155777,296.65156699587834,271.8984135624854,409.69301656427405,253.46774243720347,392.4910568473443,531.1565207247844,304.0238354459911,475.8645073489387,254.87537911190606,329.6478497550354,206.95563418617303,249.78160821214715,267.1624931954273,200.633151878062,319.9970837545688,414.42893693133226,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0453.png,372.65274904735986,295.4228555875262,279.2706820125982,446.5543588148379,264.52614511237266,415.8365736060347,544.6723462166578,288.05058713741346,515.1832724162067,256.1040905202582,370.1953262306556,197.12594291935602,271.8984135624854,241.3595536200326,205.5479975114705,275.7634730538922,413.2002255229801,424.43755346449956
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0534.png,290.32908468776736,337.19904347149856,301.38748736293655,390.03363403064003,248.55289680379497,392.4910568473443,496.7526012909249,247.50311066179324,439.0031650983748,236.4447079866241,295.24393032117587,218.01403686134222,221.5212458200482,288.05058713741346,195.7183062446535,378.9752313554709,416.8863597480365,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0581.png,431.630896648262,290.5080099541177,375.1101718640641,441.6395131814294,322.27558130492264,451.4692044482464,486.92291002410775,236.4447079866241,437.7744536900227,221.7001710863986,287.8716618710631,248.73182207014537,251.01031962049922,369.14554008865383,251.01031962049922,450.24049303989426,415.65764833968444,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0623.png,368.96661482230354,295.4228555875262,388.62599735593756,449.01178163154214,350.5359436970216,479.7295668403453,456.20512481530466,231.5298623532156,372.65274904735986,235.21599657827198,258.3825880706121,304.0238354459911,265.75485652072484,421.9801306477953,,,415.65764833968444,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0688.png,,,388.62599735593756,460.07018430671127,362.82305778054285,505.53250641573993,383.71115172252905,315.0822381211603,282.9568162376546,344.5713119216113,226.4360914534567,439.1820903647251,271.8984135624854,516.5909090909091,311.21717862975356,565.7393654249942,411.971514114628,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0706.png,,,388.62599735593756,464.9850299401198,,,398.45568862275456,369.14554008865383,294.0152189128237,419.52270783109105,223.97866863675245,473.58600979858466,268.2122793374291,522.7344661326697,327.19042693833114,566.9680768333463,413.2002255229801,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0772.png,414.42893693133226,407.2355937475698,,,,,432.8596080566142,347.02873473831556,349.3072322886695,436.7246675480208,286.6429504627109,537.4790030328952,318.5894470798663,601.3719962672058,,,415.65764833968444,415.8365736060347
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0803.png,410.7428027062758,407.2355937475698,,,,,407.0566684812195,387.5762112139358,327.19042693833114,489.55925810716235,317.36073567151413,601.3719962672059,,,,,414.42893693133226,417.0652850143868
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0893.png,,,,,,,389.85470876428974,433.03853332296444,318.5894470798663,554.6809627498251,,,,,,,414.42893693133226,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img0961.png,,,,,,,391.0834201726418,453.92662726495064,325.9617155299791,600.1432848588538,,,,,,,410.7428027062758,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img1066.png,,,,,,,,,,,,,,,,,413.2002255229801,425.6662648728517
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img1141.png,,,,,,,,,,,,,,,,,413.2002255229801,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_bRAMP_R\img1405.png,,,,,,,,,,,,,,,,,413.2002255229801,426.8949762812038
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img0155.png,568.0178629753482,308.9386810793996,506.5822925577419,280.6783186873007,459.891259040361,267.1624931954273,677.3731783186876,226.6150167198071,614.7088964927291,220.47145967804647,513.9545610078546,165.17944630220074,409.51409129792376,184.83882883583476,324.7330041216269,199.58336573606027,447.6041449568397,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img0267.png,474.6357959405865,258.56151333696243,392.312131580994,280.6783186873007,359.13692355548653,305.2525468543432,612.2514736760248,222.92888249475072,509.03971537444613,172.5517147523135,383.71115172252905,178.6952717940742,297.7013531378801,252.4179562952018,253.46774243720347,328.5980636130337,450.06156777354397,425.6662648728517
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img0353.png,560.6455945252354,295.4228555875262,414.42893693133226,269.61991601213157,359.13692355548653,290.5080099541177,631.9108562096588,308.9386810793996,579.0762656505174,232.75857376156773,439.0031650983748,177.466560385722,323.5042927132748,220.47145967804647,237.4944941286259,278.22089587059645,450.06156777354397,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img0458.png,470.94966171553017,265.9337817870752,329.6478497550354,474.8147212069368,285.41423905435886,469.8998755735283,501.6674469243334,248.73182207014537,408.2853798895716,213.09919122793372,290.32908468776736,262.2476475620188,257.1538766622599,376.51780853876664,251.01031962049922,462.5276071234155,450.06156777354397,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img0783.png,495.5238898825727,263.47635897037094,309.9884672214014,326.1406407963294,273.1271249708376,291.73672136246984,611.0227622676726,321.2257951629209,566.7891515669961,233.98728516991986,447.6041449568397,175.00913756901775,332.10527257173965,213.09919122793372,249.78160821214715,251.18924488684968,450.06156777354397,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img0922.png,440.23187650672696,252.4179562952018,322.27558130492275,337.19904347149856,275.58454778754185,351.94358037172407,565.5604401586439,273.30605023718795,485.6941986157557,193.4398086942997,341.93496383855677,203.2694999611167,255.92516525390772,284.3644529123571,219.06382300334394,367.9168286803017,450.06156777354397,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img1040.png,544.6723462166578,297.88027840423047,343.16367524690884,311.39610389610385,292.7865075044716,300.3377012209347,606.1079166342641,278.22089587059645,528.6990979080801,202.04078855276452,397.2269772144025,162.7220234854965,307.5310444046971,224.15759390310285,262.0687222956684,270.8486274204837,448.8328563651918,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img1053.png,505.3535811493897,267.1624931954273,309.9884672214014,351.94358037172407,276.8132591958939,332.28419783809005,579.0762656505174,270.8486274204837,528.6990979080801,200.81207714441246,403.37053425616307,170.09429193560925,298.9300645462323,231.5298623532156,260.84001088731634,316.3109495295124,451.29027918189604,414.60786219768255
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img1186.png,559.4168831168834,305.2525468543432,334.5626953884439,307.7099696710475,300.15877595458437,301.56641262928684,622.0811649428418,304.0238354459911,556.9594603001791,232.75857376156773,434.0883194649663,175.00913756901775,316.13202426316207,209.41305700287728,241.1806283536822,276.9921844622443,445.14672214013547,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img1288.png,463.5773932654174,261.0189361536667,425.48733960650145,274.5347616455401,382.482440314177,278.22089587059645,592.5920911423908,291.73672136246984,537.3000777665451,204.49821136946878,403.37053425616307,160.26460066879224,337.02011820514815,213.09919122793372,285.41423905435886,288.05058713741346,445.14672214013547,418.2939964227389
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img1333.png,532.3852321331365,290.5080099541177,298.9300645462323,364.2306944552453,260.84001088731634,354.4010031884283,619.6237421261376,318.76837234621667,560.6455945252354,237.67341939497624,411.971514114628,193.4398086942997,284.1855276460067,261.0189361536667,231.3509370868652,313.85352671280816,448.8328563651919,424.43755346449956
labeled-data\AG6871_1_20210510_100fps_cRAMP_L\img1536.png,518.8694066412631,288.05058713741346,292.7865075044716,404.77817093086554,265.75485652072484,381.43265417217515,592.5920911423908,296.65156699587834,496.7526012909249,208.1843455945252,364.05176918889504,193.4398086942997,268.2122793374291,268.39120460377944,236.2657827202737,326.1406407963294,447.6041449568397,423.20884205614743
